"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002376","BP","GO:0002376","immune system process",140,0.648211849020547,1.95811081015491,1e-10,2.499e-07,2.20842105263158e-07,128,"tags=69%, list=47%, signal=75%","C4b/Ifit1/Oasl2/Ifi44/Irf7/Isg15/Wnt10b/Nlrc5/Ifit3/Cd74/Psmb8/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/H2-D1/Bst2/Madcam1/H2-Q4/Psmb9/H2-K1/Trim30a/Lilrb4b/Dhx58/Hmox1/Uba7/Mx2/Slfn8/Zc3h12a/Lilrb4a/Slfn2/Igtp/Ifit3b/Tnfsf10/Gbp6/Csf3r/Tap1/B2m/Parp14/H2-M3/Cxcl16/Il18bp/Oas1b/Adam8/A2m/Fas/Stat1/Gbp7/Ly9/Ccdc88b/Mmp9/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Irf9/Samd9l/Clec4a1/Parp3/Lcp2/Itgb2/Ccl9/Slc11a1/Ifih1/Nfkb2/Cd44/C3ar1/Ctss/Rac2/Gbp4/Jak3/Tlr13/Apbb1ip/Cd36/Slc15a3/Stat2/Myo1f/Tapbp/Hcls1/Parp9/Dock2/Zc3hav1/Adgre1/Hck/Rsad2/Ifi35"
"GO:0006955","BP","GO:0006955","immune response",118,0.619806098426149,1.8806770867139,3.95221274523863e-09,4.93828982517567e-06,4.36407491553192e-06,143,"tags=81%, list=52%, signal=68%","C4b/Ifit1/Oasl2/Ifi44/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/H2-D1/Bst2/H2-Q4/H2-K1/Trim30a/Lilrb4b/Dhx58/Hmox1/Uba7/Mx2/Zc3h12a/Lilrb4a/Slfn2/Igtp/Ifit3b/Tnfsf10/Gbp6/Csf3r/Tap1/B2m/Parp14/H2-M3/Cxcl16/Il18bp/Oas1b/Adam8/A2m/Fas/Stat1/Gbp7/Ly9/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Parp3/Lcp2/Itgb2/Ccl9/Slc11a1/Ifih1/Nfkb2/Cd44/C3ar1/Ctss/Rac2/Gbp4/Jak3/Tlr13/Apbb1ip/Cd36/Slc15a3/Stat2/Myo1f/Parp9/Dock2/Zc3hav1/Adgre1/Hck/Rsad2/Ifi35/Pld4/Fcer1g/Plcg2/Gbp9/Dtx3l/Unc93b1/C1qb/Ifit2/Ptpn6"
"GO:0006950","BP","GO:0006950","response to stress",133,0.574531288061164,1.73885342001932,2.56292964968136e-07,0.000213492039818457,0.000188667593159,117,"tags=61%, list=43%, signal=68%","Ifit1/Oasl2/F830016B08Rik/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/H2-D1/Bst2/Ifi47/H2-Q4/H2-K1/Trim30a/Lilrb4b/Dhx58/Hmox1/Uba7/Sncg/Mx2/Slfn8/Zc3h12a/Lilrb4a/Igtp/Ifit3b/Gbp6/Hspa1a/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Fas/Stat1/Gbp7/Ly9/Ccdc88b/Mmp9/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Parp10/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Hk3/Parp3/Itgb2/Ccl9/Slc11a1/Ifih1/Nfkb2/Cd44/C3ar1/Ctss/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Tapbp"
"GO:0006952","BP","GO:0006952","defense response",112,0.589766152333719,1.7848973161394,3.87614149765029e-07,0.000242161940065702,0.000214003812159745,117,"tags=66%, list=43%, signal=64%","Ifit1/Oasl2/F830016B08Rik/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/H2-D1/Bst2/Ifi47/H2-Q4/H2-K1/Trim30a/Lilrb4b/Dhx58/Hmox1/Uba7/Mx2/Slfn8/Zc3h12a/Lilrb4a/Igtp/Ifit3b/Gbp6/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Ly9/Ccdc88b/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Itgb2/Ccl9/Slc11a1/Ifih1/Nfkb2/Cd44/C3ar1/Ctss/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Tapbp"
"GO:0050896","BP","GO:0050896","response to stimulus",202,0.612288493966422,1.82364052615737,6.25801184950357e-07,0.000312775432238189,0.000276406502321232,144,"tags=63%, list=52%, signal=113%","C4b/Ifit1/Oasl2/Ifi44/F830016B08Rik/Irf7/Isg15/Wnt10b/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/Usp18/H2-D1/Bst2/Ifi47/Madcam1/H2-Q4/Psmb9/H2-K1/Trim30a/Lilrb4b/Dhx58/Hmox1/Ifi27/Uba7/Sncg/Mx2/Slfn8/Zc3h12a/Lilrb4a/Slfn2/Igtp/Ifit3b/Tnfsf10/Gbp6/Hspa1a/Xaf1/Rtp4/Csf3r/Tap1/B2m/Parp14/H2-M3/Cxcl16/Il18bp/Oas1b/Adam8/A2m/Fas/Stat1/Gbp7/Siglec1/Arhgdib/Ly9/Slc5a1/Ccdc88b/Mmp9/C5ar1/Relb/Irgm2/Ifi202b/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Parp10/Ms4a6d/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Hk3/Parp3/Lcp2/Itgb2/Ccl9/Slc11a1/Ifih1/Nfkb2/Cd44/Ms4a6b/C3ar1/Ctss/Rac2/Gbp4/Jak3/Tlr13/Zfyve28/Apbb1ip/Cd36/Slc15a3/Stat2/Myo1f/Tapbp/Hcls1/Parp9/Birc3/Dock2/Zc3hav1/Gatm/Adgre1/Hck/Rsad2/Ifi35/Mc3r/Pld4/Ms4a6c/Fcer1g/Fermt3/Plcg2/Gbp9/Dtx3l/Unc93b1/Arhgap30/C1qb/Ifit2/Ptpn6/Cyth4"
"GO:0044419","BP","GO:0044419","biological process involved in interspecies interaction between organisms",102,0.58050954109269,1.74763951025401,7.6202810084886e-07,0.00031738470400355,0.00028047981676858,90,"tags=57%, list=33%, signal=61%","Ifit1/Oasl2/Ifi44/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Icam1/Usp18/H2-D1/Bst2/H2-Q4/Psmb9/H2-K1/Trim30a/Dhx58/Uba7/Mx2/Slfn8/Zc3h12a/Lilrb4a/Slfn2/Igtp/Ifit3b/Gbp6/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Siglec1/Ly9/Ccdc88b/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3"
"GO:0140546","BP","GO:0140546","defense response to symbiont",88,0.581598048188188,1.74112631431376,2.080868623126e-06,0.000725217635998332,0.000640890714317095,143,"tags=85%, list=52%, signal=60%","Ifit1/Oasl2/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/H2-D1/Bst2/H2-Q4/H2-K1/Trim30a/Dhx58/Uba7/Mx2/Slfn8/Zc3h12a/Igtp/Ifit3b/Gbp6/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Ly9/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Ccl9/Slc11a1/Ifih1/Nfkb2/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Parp9/Zc3hav1/Hck/Rsad2/Ifi35/Pld4/Fcer1g/Plcg2/Gbp9/Dtx3l/Unc93b1/C1qb/Ifit2/Ptpn6"
"GO:0098542","BP","GO:0098542","defense response to other organism",93,0.577609758846717,1.73543170718392,2.32162508522875e-06,0.000725217635998332,0.000640890714317095,143,"tags=83%, list=52%, signal=60%","Ifit1/Oasl2/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/H2-D1/Bst2/H2-Q4/H2-K1/Trim30a/Dhx58/Uba7/Mx2/Slfn8/Zc3h12a/Igtp/Ifit3b/Gbp6/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Ly9/Ccdc88b/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Ccl9/Slc11a1/Ifih1/Nfkb2/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Parp9/Zc3hav1/Hck/Rsad2/Ifi35/Pld4/Fcer1g/Plcg2/Gbp9/Dtx3l/Unc93b1/C1qb/Ifit2/Ptpn6"
"GO:0045087","BP","GO:0045087","innate immune response",85,0.56908401114927,1.7045129720192,9.10056826948078e-06,0.00189519334211937,0.00167482387976936,143,"tags=85%, list=52%, signal=59%","Ifit1/Oasl2/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/H2-D1/Bst2/H2-Q4/H2-K1/Trim30a/Dhx58/Uba7/Mx2/Igtp/Ifit3b/Gbp6/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Ly9/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Ccl9/Slc11a1/Ifih1/Nfkb2/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Parp9/Zc3hav1/Hck/Rsad2/Ifi35/Pld4/Fcer1g/Plcg2/Gbp9/Dtx3l/Unc93b1/C1qb/Ifit2/Ptpn6"
"GO:0043207","BP","GO:0043207","response to external biotic stimulus",100,0.564746672494564,1.69935452793492,9.10056826948078e-06,0.00189519334211937,0.00167482387976936,143,"tags=82%, list=52%, signal=62%","Ifit1/Oasl2/Ifi44/Irf7/Isg15/Nlrc5/Ifit3/Cd74/Ddx60/Oas1a/Gbp3/Marco/Ifitm3/Usp18/H2-D1/Bst2/H2-Q4/Psmb9/H2-K1/Trim30a/Dhx58/Uba7/Mx2/Slfn8/Zc3h12a/Lilrb4a/Slfn2/Igtp/Ifit3b/Gbp6/Rtp4/Tap1/B2m/Parp14/H2-M3/Cxcl16/Oas1b/Adam8/A2m/Stat1/Gbp7/Ly9/Ccdc88b/C5ar1/Relb/Irgm2/Clec4n/Mpeg1/H2-T22/Trim25/Cybb/Coro1a/Fcgr1/Spi1/Nfkbiz/Lgals3/Clec4a1/Ccl9/Slc11a1/Ifih1/Nfkb2/Gbp4/Jak3/Tlr13/Cd36/Slc15a3/Stat2/Myo1f/Parp9/Zc3hav1/Hck/Rsad2/Ifi35/Pld4/Fcer1g/Plcg2/Gbp9/Dtx3l/Unc93b1/C1qb/Ifit2/Ptpn6"
