"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",16.5619465950914,-0.653797810700765,0.466735426710432,-1.40078891227254,0.161277205236529,0.97854774134652
"Sox17",69.0565928484601,0.17097328674887,0.36288621077293,0.471148480358912,0.637534706622017,0.999887176930905
"Mrpl15",179.486710336173,-0.0727001559791862,0.144515995857896,-0.503059578613518,0.614922384726144,0.999887176930905
"Lypla1",401.81362474483,0.0511226532638662,0.111222727108538,0.459642148622894,0.645773100407096,0.999887176930905
"Tcea1",735.663354481104,0.0410040296261337,0.0930121276267869,0.440846056018235,0.659324448643587,0.999887176930905
"Rgs20",21.1475728437217,-0.00318705178541843,0.409542506614741,-0.00778198046342601,0.993790940605125,0.999887176930905
"Atp6v1h",551.47979581948,0.0450631390636031,0.0931647148052179,0.483693200347555,0.628603619600141,0.999887176930905
"Rb1cc1",544.477247766255,-0.0261175346433754,0.112023535571058,-0.233143281099254,0.815650147317338,0.999887176930905
"St18",9.98625042682536,-0.0527231765113939,0.686984003024207,-0.076745857660875,0.938825722953715,0.999887176930905
"Pcmtd1",605.066838016352,-0.0874365709210692,0.113326359413117,-0.771546631991683,0.440382993256851,0.999887176930905
"Rrs1",121.658526765283,0.0687230610893926,0.188234793390174,0.365092233224616,0.715042558345425,0.999887176930905
"Adhfe1",66.772088928078,-0.0992794384548624,0.40070964386888,-0.247759044420075,0.804320844871978,0.999887176930905
"Mybl1",42.6483565093704,-0.159439732808496,0.285092505394408,-0.559256135435482,0.575986927098946,0.999887176930905
"Vcpip1",364.883396912986,0.112869232968025,0.103776375812543,1.08761972158198,0.276763020731704,0.999887176930905
"Sgk3",747.056658035276,-0.211731326209513,0.116112539718369,-1.82350094764154,0.0682275536786479,0.769466640128074
"Snhg6",49.255771664899,0.225170670095827,0.263537262806579,0.854416820216764,0.392874079474758,0.999887176930905
"Tcf24",31.3958678076937,0.492542596148684,0.407826862644506,1.2077247510251,0.227153154265844,0.999887176930905
"Ppp1r42",101.009999922822,-0.127280297865087,0.197264320859804,-0.645227161761023,0.518779986733919,0.999887176930905
"Cops5",674.638834467169,0.0637101812085978,0.0946311041885684,0.673247784170884,0.500789665913556,0.999887176930905
"Cspp1",370.521793022636,0.0461251363641884,0.126188852055373,0.365524653033124,0.714719807578282,0.999887176930905
"Arfgef1",1606.08338562428,-0.0577916583835804,0.0885050653024125,-0.652975715978655,0.513771934147891,0.999887176930905
"Prex2",358.536981537199,-0.0493608033628672,0.145605542771793,-0.339003601258713,0.734607017228513,0.999887176930905
"A830018L16Rik",250.125805658545,0.120918088895075,0.142818074698056,0.846658163896402,0.397185683961448,0.999887176930905
"Gm30974",20.7992816708613,-0.320249940533475,0.430362891969111,-0.744139298507318,0.456792206616691,0.999887176930905
"Sulf1",23621.9205172276,-0.0259013950052213,0.0888032750638762,-0.291671618941873,0.77053771091443,0.999887176930905
"Slco5a1",77.5612477309586,0.241504782870866,0.217290837297929,1.1114356494459,0.266380874582057,0.999887176930905
"Ncoa2",911.212439603615,0.0471489296361468,0.0823313279131233,0.572673013192484,0.566866113156318,0.999887176930905
"Tram1",915.872748435896,0.124781184909126,0.0959092664079543,1.30103367049398,0.193246929847176,0.999887176930905
"Lactb2",374.765706689438,-0.125381845860197,0.138059010791001,-0.908175751382175,0.363785373330004,0.999887176930905
"Eya1",69.001024824365,-0.0395832612672517,0.244317449084214,-0.162015694808633,0.871293494488745,0.999887176930905
"Terf1",119.817299330665,0.151171788467783,0.185875680508864,0.81329514465758,0.41604886014375,0.999887176930905
"Sbspon",133.699056598515,-0.0261425236506762,0.212637463932733,-0.122944109505305,0.902151356222164,0.999887176930905
"4930444P10Rik",95.095561252283,0.0364537784652275,0.199078071785735,0.183112977427581,0.854709373420473,0.999887176930905
"Rpl7",4253.65668583235,0.00714270935144279,0.0550386807462273,0.129776172949647,0.896743514701615,0.999887176930905
"Rdh10",1174.29356971626,-0.0210739036416103,0.0879935631879939,-0.239493695653476,0.810722784389824,0.999887176930905
"Stau2",226.881225513166,0.0757179716972153,0.151330844470177,0.500347248852742,0.61683059012037,0.999887176930905
"Ube2w",217.178802748017,0.0332774655187016,0.15721328993705,0.211670816964815,0.832363856892327,0.999887176930905
"Eloc",348.114843721398,0.0120239589535091,0.114422776656882,0.105083614511166,0.916309461037544,0.999887176930905
"Tmem70",140.103510402996,0.0860277789947448,0.162849156510567,0.528266653866043,0.597314272692142,0.999887176930905
"Jph1",385.173953716327,-0.0319960202144663,0.124696022229016,-0.256592148189799,0.797493636954982,0.999887176930905
"Gdap1",14.0750179133761,-0.567492828992322,0.58025930659212,-0.977998668087246,0.328074982830543,0.999887176930905
"Pi15",53.3222454406946,-0.393952529948462,0.294978162683536,-1.3355311673397,0.181702561489374,0.993704133485535
"Crispld1",141.620409749755,-0.130464979002044,0.220293778546206,-0.592231790943109,0.55369538384993,0.999887176930905
"Tfap2b",14.0609075091706,-0.749498428193819,0.490948809141587,-1.52663254139327,0.126852410447542,0.93084891099006
"Mcm3",239.525962369099,0.214159610977501,0.140772852230367,1.52131329005852,0.128181236718357,0.932255496295759
"Paqr8",167.773989479619,0.15865243759988,0.195618411148579,0.811030192241864,0.417348332399312,0.999887176930905
"Efhc1",614.042583320656,-0.0590324934015681,0.105988497285725,-0.556970755443655,0.577547410268597,0.999887176930905
"Tram2",85.0388167318277,-0.088230823412434,0.211846543159839,-0.416484602941402,0.677055431831832,0.999887176930905
"Tmem14a",54.1252910638428,-0.00213511841070745,0.255774501760097,-0.00834765934842902,0.993339608840272,0.999887176930905
"Kcnq5",12.1213935113638,-0.363080985505755,0.589465602465608,-0.615949402284145,0.53792791467688,0.999887176930905
"Rims1",11.3300221417427,-0.316188546048946,0.561328588784104,-0.563286018860795,0.573240136921788,0.999887176930905
"Gm53541",36.2846989098367,-0.0919739081952321,0.391964964704974,-0.234648288691974,0.814481726764185,0.999887176930905
"Ogfrl1",142.046044389312,0.23807366906771,0.175902938325379,1.353437704533,0.175915838865711,0.987002915581815
"B3gat2",17.553849865865,-0.0633628600959351,0.460785577298294,-0.13751051078345,0.89062728526311,0.999887176930905
"Smap1",425.93660014592,0.0223201310786873,0.108669986094109,0.20539370511521,0.837264538030184,0.999887176930905
"Sdhaf4",121.85289634679,0.0730498895707858,0.177510681226551,0.411523909806615,0.680688412788606,0.999887176930905
"Fam135a",340.565370480043,-0.141969635913845,0.121022639903882,-1.17308328447139,0.240762408982854,0.999887176930905
"Lmbrd1",862.773765387748,-0.0922500600517849,0.0979775511082033,-0.941542822905492,0.346426754988782,0.999887176930905
"Adgrb3",93.8886823846299,-0.121172255100265,0.249510292071875,-0.48564030803731,0.627222212481795,0.999887176930905
"Phf3",1021.47283372842,-0.0817051460216731,0.0897318131721503,-0.91054825633493,0.362533444634224,0.999887176930905
"Ptp4a1",356.073124690027,0.0860804600756848,0.107770988581752,0.798734995461109,0.424444090214542,0.999887176930905
"Prim2",79.181589754281,0.210848542213465,0.2293907504316,0.919167585514033,0.358007922790288,0.999887176930905
"Rab23",152.819460464333,0.0949520431245336,0.168608072609401,0.563152414086959,0.573331103002419,0.999887176930905
"Bag2",138.055035481785,-0.217801315802909,0.165148701969626,-1.31881942277068,0.187229489320493,0.999887176930905
"Zfp451",306.429630880834,0.0329332280647376,0.142481506328791,0.231140369815721,0.817205753565037,0.999887176930905
"Dst",1203.43847405976,-0.294484676030142,0.0969880756625657,-3.03629775122761,0.00239502725021586,0.0987915660227163
"Gm3052",10.9651911461049,-0.414686805069473,0.559506528091956,-0.741165266621014,0.458593240438269,0.999887176930905
"Gm37233",74.0144308618996,-0.0284605511056619,0.216746403727022,-0.131308066091404,0.895531611222439,0.999887176930905
"Ccdc115",123.112096299321,0.128960053643729,0.168427224141946,0.765672261718478,0.443871335721088,0.999887176930905
"Imp4",155.567398665284,-0.0109139866122047,0.165135998687507,-0.0660908990102013,0.947305456548232,0.999887176930905
"Ptpn18",36.7363839824166,0.229203473156443,0.344123966556406,0.66604914342365,0.505379689427727,0.999887176930905
"Arhgef4",38.984408396934,0.568198429094243,0.320338843106738,1.77374190274177,0.076105851896697,0.802851893756343
"Fam168b",1466.50190696059,0.028503834350113,0.0797974958206337,0.357202115893248,0.720940501997168,0.999887176930905
"Plekhb2",587.325834585964,0.0287319196922238,0.117719269931852,0.244071507654242,0.80717543892683,0.999887176930905
"Hs6st1",681.516673798068,0.0644016354971882,0.102340121183837,0.62929020165514,0.529159084931962,0.999887176930905
"Uggt1",2113.87844796103,-0.00157120817068466,0.0761970248605667,-0.0206203348957498,0.983548519013072,0.999887176930905
"Arid5a",37.1926750903795,0.47322637123122,0.310494510032009,1.52410543807179,0.127482374473777,0.93084891099006
"Kansl3",806.319923278244,-0.0699748767145555,0.0805147174554633,-0.869094234271667,0.384795590103206,0.999887176930905
"Fer1l5",10.1769054491652,-0.0191541509733898,0.568297948214536,-0.0337044169058991,0.973112856793685,0.999887176930905
"Lman2l",451.770185326291,0.0605027555664068,0.10546383448673,0.573682493727453,0.566182676889815,0.999887176930905
"Cnnm4",111.192759964207,-0.201302820363549,0.193519564041841,-1.04021948044501,0.298237942999684,0.999887176930905
"Cnnm3",278.972961274798,-0.0710858819083177,0.137314166534057,-0.517687895594419,0.604676044943234,0.999887176930905
"Ankrd23",47.8604163462093,-0.15142565645788,0.289719138555922,-0.522663629377911,0.601208352617657,0.999887176930905
"Ankrd39",48.4436112410459,-0.278533077224224,0.270147934786403,-1.03103907658761,0.302522495435851,0.999887176930905
"Sema4c",197.868032489425,0.195938793331044,0.163865536778423,1.19572911536604,0.231802285579286,0.999887176930905
"Cox5b",584.759931940326,0.0611729767830746,0.0952194092245566,0.64244230542126,0.520586038584127,0.999887176930905
"Actr1b",771.975607461493,-0.00332485973623134,0.0926233717061165,-0.035896552619362,0.971364844708824,0.999887176930905
"Tmem131",750.891514436367,0.0620254403826723,0.0837302127573797,0.740777293405427,0.458828485016385,0.999887176930905
"Vwa3b",351.713769441329,0.133546490679533,0.138108526416929,0.966967747352371,0.333560157196381,0.999887176930905
"Inpp4a",222.174318249525,-0.0784663863045467,0.137508223712808,-0.570630498932395,0.568250139919599,0.999887176930905
"Coa5",731.407425183767,0.121349923347977,0.0826030359291218,1.46907340611672,0.141812880032219,0.958508991061725
"Unc50",231.788066405948,0.100973885624044,0.128495147326173,0.785818668838377,0.431973727796843,0.999887176930905
"Mgat4a",376.100913010867,-0.16906031688716,0.110419265016596,-1.53107627425114,0.125750542796594,0.929912523536141
"Cracdl",222.312075166755,-0.0709258938355127,0.135765625722534,-0.522414222731642,0.60138195540579,0.999887176930905
"Tsga10",206.338662734995,-0.208798236891188,0.137685736690667,-1.51648414650448,0.129396976047576,0.934365213534836
"Lipt1",21.1765291976926,0.332593924235842,0.416611764993528,0.798330609412841,0.424678659572412,0.999887176930905
"Mitd1",81.9272081380387,0.222033773746208,0.222424180989295,0.998244762591235,0.318160685475065,0.999887176930905
"Mrpl30",198.697351686261,0.244659174523153,0.147147568407948,1.66267901787454,0.0963767044342905,0.86547721736986
"Txndc9",377.696720578897,0.0224630355773718,0.102410187737483,0.219343759382155,0.826382276688665,0.999887176930905
"Eif5b",998.196498702215,-0.0450879493942623,0.0839643019385786,-0.536989510461778,0.591274859733226,0.999887176930905
"Gm34448",10.7648242919504,-0.293788640238793,0.654612425684408,-0.448797836264156,0.653577499754106,0.999887176930905
"Rev1",297.817505196119,0.114319083664784,0.114053985330692,1.00232432328711,0.316186978723835,0.999887176930905
"Aff3",120.767460096122,-0.237710589781365,0.211431141974521,-1.12429317441803,0.260888673032986,0.999887176930905
"Gm16150",270.192831854521,-0.58908520423567,0.190818196106053,-3.08715424554307,0.00202082707770628,0.0869682149587106
"Lonrf2",55.3638311837032,-0.157667515974452,0.338821835378434,-0.465340481372315,0.64168764948314,0.999887176930905
"Chst10",58.2137495386331,0.203630505308551,0.290719636937647,0.700436019573817,0.483655048351133,0.999887176930905
"Pdcl3",247.623752268814,0.102439337636553,0.127405675144194,0.804040616876883,0.421373518032535,0.999887176930905
"Npas2",34.7503493396046,-0.195810759746287,0.367349416427053,-0.53303680634857,0.59400810206879,0.999887176930905
"Rpl31",1855.12540015257,0.0501713095008827,0.0740568286573359,0.677470402264016,0.498107542960031,0.999887176930905
"Tbc1d8",83.6184958329343,-0.507466780477593,0.211454295674529,-2.39988872705943,0.0164000563251943,0.347355519216739
"Gm53550",8.02193065820557,-0.114698001264674,0.673701796916413,-0.170250401274949,0.864813215758101,0.999887176930905
"Cnot11",233.05902352559,0.0231355859833136,0.130559222023534,0.177203767185004,0.859348336708018,0.999887176930905
"Rnf149",299.635450769269,0.0084435356811605,0.11664956645153,0.0723837725077953,0.942296498579533,0.999887176930905
"Rfx8",26.0949005925384,0.084665927940626,0.353763451215428,0.239329211793187,0.810850315734611,0.999887176930905
"Map4k4",2027.27750735357,-0.0667725874759054,0.0673835854296972,-0.990932540174353,0.32171852178623,0.999887176930905
"Il1r1",109.134085876351,0.294715085972991,0.21898788275009,1.3458054494701,0.178365267518485,0.990829678045394
"Il1rl2",52.0707587001506,0.180885049318168,0.279210622903023,0.647844438859315,0.517085569761493,0.999887176930905
"Mfsd9",28.7484577387292,0.0183575227235929,0.354131931835267,0.0518380893483854,0.958657705425659,0.999887176930905
"Pantr1",20.6886872768978,-0.203617916184432,0.587326211960004,-0.346686240181458,0.728827048599407,0.999887176930905
"Pou3f3",89.7418256960846,-0.129274222060808,0.336030022473328,-0.384710333646064,0.700452038241034,0.999887176930905
"2900092D14Rik",10.2460901189658,-0.251026790193606,0.599092770425085,-0.419011549772986,0.675207691430047,0.999887176930905
"Mrps9",147.57465196926,0.209296055357474,0.1579045705535,1.32545913410759,0.185018914956786,0.999887176930905
"Tgfbrap1",260.262717277629,0.0600623241542793,0.123857919282431,0.484929219724096,0.627726554483208,0.999887176930905
"AI597479",210.55295063949,0.000230605740571554,0.13990189350133,0.00164833895239139,0.998684816394481,0.999887176930905
"Fhl2",70.5804608574844,-0.160738221007657,0.235500695992933,-0.682538199430543,0.494898696909311,0.999887176930905
"Nck2",319.613505247946,0.0834475858588064,0.115964344429502,0.719596926704798,0.471773204810767,0.999887176930905
"Ecrg4",2238.29663791678,0.0412710734969963,0.238746967218822,0.172865330930757,0.862757283256672,0.999887176930905
"Uxs1",338.610622079024,-0.250272225214706,0.120318849230586,-2.08007495762421,0.0375186581311803,0.579918249113887
"Tpp2",481.908947605734,0.123429315203965,0.094626975707686,1.30437768174324,0.192104840903804,0.999887176930905
"Tex30",42.316335914817,0.089365352203678,0.32061406701739,0.278731850523673,0.780450617621734,0.999887176930905
"Poglut2",302.034012880739,0.0624805573327456,0.113083577295925,0.552516632625107,0.580594442065468,0.999887176930905
"Bivm",141.398263533069,0.182727367787473,0.174785480451836,1.04543791232033,0.295820622122496,0.999887176930905
"Ercc5",241.702013548448,0.0845726499774807,0.14050381921776,0.6019242071022,0.547224589984032,0.999887176930905
"Mettl21e",63.7305312642222,0.31175768020955,0.28897799719696,1.07882843411453,0.280664216739466,0.999887176930905
"Gulp1",619.17764404079,-0.0490771524590418,0.104638210987234,-0.469017503223838,0.639057125007787,0.999887176930905
"Col3a1",3018.28924806696,0.31518666510984,0.359861415873145,0.875855680012513,0.381108495965527,0.999887176930905
"Col5a2",740.964478408602,0.0663929826998303,0.162049225033378,0.409708733171388,0.682019622963087,0.999887176930905
"Wdr75",150.368347228988,0.20296111935402,0.17360234581571,1.16911507387968,0.242357271454544,0.999887176930905
"Slc40a1",346.269824904348,0.834779206247491,0.187078016473353,4.4621982955779,8.11231018182174e-06,0.0014594339233128
"Dnah7b",511.352151836014,-0.181442830598584,0.104799173890449,-1.73133836711589,0.0833914322195105,0.822064184494628
"Dnah7c",55.4097603193489,0.0235191873719133,0.277440966405325,0.0847718621969949,0.932442763709982,0.999887176930905
"Slc39a10",1261.29804096261,0.00227118659631655,0.0889864630017011,0.0255228325714343,0.979637936659482,0.999887176930905
"Cavin2",717.533536177224,-0.291614465711717,0.121470637541835,-2.40069922750906,0.0163637803716515,0.347355519216739
"Nabp1",67.0501979046532,0.0746050777839152,0.275391314237477,0.270905703727392,0.786463558075359,0.999887176930905
"Myo1b",604.60245017759,0.0895682606493097,0.181653884051278,0.493070991116412,0.621962427165355,0.999887176930905
"Stat1",368.72939697263,1.89217071706943,0.487431370657011,3.88192231968772,0.000103633984746415,0.00998363006602235
"Gls",356.121786432179,-0.0640547118401662,0.137507598675673,-0.465826706720743,0.641339547046562,0.999887176930905
"Nab1",299.013290172804,0.0877260940206505,0.12247074164917,0.716302464077103,0.473804605628628,0.999887176930905
"Nemp2",70.1596793593586,0.0973763975915719,0.23869520317124,0.407952888444575,0.683308262824806,0.999887176930905
"Mfsd6",57.1151357991226,0.130858602861439,0.267269273685943,0.489613344088349,0.624407532037945,0.999887176930905
"Inpp1",257.208058250537,-0.0626296370782732,0.164811631790442,-0.380007384174843,0.703939933829087,0.999887176930905
"Hibch",202.167236427502,0.196996788796679,0.219560714723667,0.897231497194815,0.369595401350054,0.999887176930905
"Pms1",61.6390350844282,-0.259311766064041,0.250332154145193,-1.03587078915016,0.30026242690315,0.999887176930905
"Ormdl1",156.393499447304,0.187777380237241,0.15381321729617,1.22081433272195,0.22215632583302,0.999887176930905
"Osgepl1",53.9338422048062,0.320702474705243,0.252648164890354,1.26936395854854,0.204311284513263,0.999887176930905
"Asnsd1",294.109547734033,0.104096071233746,0.113229255074202,0.91933900974205,0.357918279649654,0.999887176930905
"Dnah7a",165.161011721784,0.197076721819335,0.195684470645719,1.00711477599128,0.313879621324049,0.999887176930905
"Stk17b",81.8264116451468,0.42287287522382,0.213105804256271,1.98433297816371,0.0472187321295175,0.650433679112504
