"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmox1",1.15114912131944e-22,1.42096783049923,0.973,0.799,2.21596205853991e-18,"0","Hmox1"
"Slc48a1",6.16664041419778e-20,1.0635841021633,0.986,0.799,1.18707827973307e-15,"0","Slc48a1"
"Axl",6.45071827055922e-16,1.9508814802206,0.784,0.312,1.24176326708265e-11,"0","Axl"
"Lpl",5.43292809093735e-14,1.61531802460376,0.824,0.438,1.04583865750544e-09,"0","Lpl"
"Spic",5.6241711402041e-14,2.83296278233121,0.568,0.111,1.08265294448929e-09,"0","Spic"
"Gclm",6.52688788964958e-14,1.87754661946411,0.811,0.375,1.25642591875754e-09,"0","Gclm"
"Clec4n",4.12198675987007e-12,1.2481913214594,0.838,0.604,7.93482451274989e-08,"0","Clec4n"
"Slc11a1",4.80378432143447e-11,1.07730078713,0.878,0.59,9.24728481876135e-07,"0","Slc11a1"
"Gstm1",1.89120345395025e-10,1.42695999475572,0.77,0.444,3.64056664885424e-06,"0","Gstm1"
"Pld3",3.07819918999683e-10,1.18769953737838,0.838,0.556,5.9255334407439e-06,"0","Pld3"
"Fcrl1",1.41451264098373e-08,3.03325523409601,0.311,0.035,0.000272293683389369,"0","Fcrl1"
"Vcam1",2.87471743801324e-08,2.88697721484207,0.432,0.132,0.000553383106817548,"0","Vcam1"
"Pparg",4.53062708438777e-08,3.16460637699695,0.324,0.056,0.000872145713744646,"0","Pparg"
"Il18bp",6.42878919936383e-08,3.47870046750995,0.27,0.028,0.00123754192087754,"0","Il18bp"
"Gngt2",7.14391356866361e-08,1.56702374800538,0.649,0.368,0.00137520336196775,"0","Gngt2"
"Marco",8.49123358182919e-08,3.00463904668631,0.27,0.028,0.00163456246450212,"0","Marco"
"Sqstm1",8.68098607999101e-08,1.04218168106551,0.811,0.549,0.00167108982039827,"0","Sqstm1"
"Cd82",1.65275987653113e-07,1.39812955634713,0.635,0.319,0.00318156276232242,"0","Cd82"
"Lgals3",2.62637862915056e-07,1.45698703460645,0.568,0.222,0.00505577886111483,"0","Lgals3"
"Tmem140",2.63243185193115e-07,1.50313569230765,0.595,0.264,0.00506743131496745,"0","Tmem140"
"Cmbl",7.51596012983897e-07,2.5474375923382,0.311,0.062,0.01446822324994,"0","Cmbl"
"B430306N03Rik",7.93519459746248e-07,2.97322016636438,0.257,0.035,0.0152752496001153,"0","B430306N03Rik"
"Fam213b",9.91710028499681e-07,1.08470147271368,0.716,0.569,0.0190904180486189,"0","Fam213b"
"Acp5",1.40975629395447e-06,1.38693531122005,0.568,0.285,0.0271378086586236,"0","Acp5"
"Fcna",1.51053632569523e-06,1.06199004683298,0.73,0.507,0.0290778242696333,"0","Fcna"
"Cela1",1.78704651854195e-06,1.32352988002108,0.608,0.326,0.0344006454819326,"0","Cela1"
"Cxcl16",2.07750167730321e-06,1.88623704470674,0.419,0.146,0.0399919072880868,"0","Cxcl16"
"Por",5.08182521911449e-06,1.02950893597709,0.703,0.493,0.0978251354679539,"0","Por"
"Akr1b8",6.79742432405727e-06,2.38904627074528,0.297,0.069,0.130850418238102,"0","Akr1b8"
"Txnrd1",7.2404609423343e-06,1.48175785287678,0.554,0.278,0.139378873139935,"0","Txnrd1"
"Gdpd1",2.60527167812351e-05,1.77759027324471,0.351,0.118,0.501514798038775,"0","Gdpd1"
"Gm10116",2.78932715855896e-05,1.2511951849613,0.459,0.188,0.5369454780226,"0","Gm10116"
"G6pdx",3.21139686017435e-05,1.26316420640954,0.608,0.361,0.618193895583562,"0","G6pdx"
"Mgst1",4.06259593728703e-05,2.16409842605684,0.311,0.097,0.782049717927753,"0","Mgst1"
"Rab20",4.3901344909163e-05,1.2897067945015,0.473,0.208,0.845100889501388,"0","Rab20"
"Abcc3",7.04144298769497e-05,1.24956155417164,0.419,0.174,1,"0","Abcc3"
"Cadm1",9.44190243685172e-05,1.09286606016097,0.5,0.25,1,"0","Cadm1"
"Gm13710",0.000120559460054971,1.71821143964245,0.311,0.104,1,"0","Gm13710"
"Cat",0.000123758035881151,1.0291028392379,0.649,0.528,1,"0","Cat"
"Fam234a",0.000125997534214031,1.11172750183429,0.581,0.319,1,"0","Fam234a"
"Mafb",0.000202508644357282,1.12704856761535,0.486,0.264,1,"0","Mafb"
"Zbtb38",0.000318793507061149,1.77329639571706,0.284,0.097,1,"0","Zbtb38"
"Trafd1",0.000391335693277159,1.04959320595083,0.568,0.361,1,"0","Trafd1"
"Vamp5",0.000392853010905104,1.40316876998393,0.378,0.174,1,"0","Vamp5"
"Lilra5",0.00042959807943687,1.45213586940598,0.311,0.111,1,"0","Lilra5"
"Sdc3",0.000579249961100395,1.07578834567643,0.446,0.222,1,"0","Sdc3"
"Arfgap2",0.00064127050654964,1.08272764045975,0.459,0.257,1,"0","Arfgap2"
"Hpcal1",0.00093465191061655,1.00736852153216,0.568,0.396,1,"0","Hpcal1"
"Tnip1",0.00132388209969298,1.49436970889806,0.351,0.174,1,"0","Tnip1"
"Fabp5",0.00227924610826093,1.15198793273011,0.5,0.326,1,"0","Fabp5"
"Ppfibp2",0.00231139363543677,1.14562556552228,0.338,0.153,1,"0","Ppfibp2"
"Enho",0.00243769892814433,1.29047129103736,0.257,0.097,1,"0","Enho"
"Ly9",0.00254922116250708,1.25919908845632,0.311,0.139,1,"0","Ly9"
"Tnfaip2",0.00281423701204645,1.22425488011949,0.257,0.097,1,"0","Tnfaip2"
"Gorasp2",0.00285446708748492,1.0214264440905,0.473,0.292,1,"0","Gorasp2"
"Yipf6",0.002911557389196,1.72559535222575,0.27,0.118,1,"0","Yipf6"
"Fcgr4",0.00399368024437619,1.18273889480004,0.311,0.146,1,"0","Fcgr4"
"Rngtt",0.00516418484392862,1.06519332225836,0.27,0.118,1,"0","Rngtt"
"Abcg1",0.00692190381155219,1.28816312213998,0.338,0.188,1,"0","Abcg1"
"X9430038I01Rik",0.0086711040037566,1.22276568163132,0.297,0.153,1,"0","X9430038I01Rik"
"Gclc",0.00925670769772309,1.43921461288901,0.257,0.125,1,"0","Gclc"
"Lyve1",8.90254043005648e-19,1.99103939083043,0.906,0.305,1.71373903278587e-14,"1","Lyve1"
"Ccl2",1.03925307275027e-18,1.42103837204383,0.984,0.565,2.00056216504426e-14,"1","Ccl2"
"Egr1",3.6946676001389e-15,1.16003202732363,0.922,0.604,7.11223513026738e-11,"1","Egr1"
"Pmp22",8.65141452139848e-15,1.70371191478238,0.859,0.364,1.66539729536921e-10,"1","Pmp22"
"Ier3",2.25895006045449e-14,1.10899805460728,0.969,0.688,4.34847886637489e-10,"1","Ier3"
"Ltc4s",1.03542640644985e-12,1.35401814727191,0.875,0.487,1.99319583241596e-08,"1","Ltc4s"
"Ccl7",6.46845432572713e-12,1.44867493611743,0.859,0.448,1.24517745770247e-07,"1","Ccl7"
"Colec12",1.00666537557061e-11,1.51937875951603,0.797,0.344,1.93783084797342e-07,"1","Colec12"
"Fcgr2b",6.62299454624673e-11,1.45775150937727,0.766,0.448,1.2749264501525e-06,"1","Fcgr2b"
"Fosb",8.36416645101489e-11,1.17734325515255,0.844,0.578,1.61010204182037e-06,"1","Fosb"
"Nfkbiz",5.45125277172117e-10,1.19064504887361,0.828,0.552,1.04936615855632e-05,"1","Nfkbiz"
"Gimap6",6.64441453763213e-10,2.07943441701096,0.578,0.208,1.27904979849419e-05,"1","Gimap6"
"Lmna",1.55003702322548e-09,1.51901342845399,0.703,0.331,2.98382126970905e-05,"1","Lmna"
"Nfkbid",1.05818173617301e-08,1.22593444418368,0.781,0.468,0.000203699984213305,"1","Nfkbid"
"Appl2",2.3118584416738e-08,1.45314990392056,0.609,0.273,0.000445032750022206,"1","Appl2"
"Adrb2",3.52794041159483e-08,1.23714740856359,0.781,0.5,0.000679128529232005,"1","Adrb2"
"Cd163",5.70499429095523e-08,2.1902063405907,0.469,0.149,0.00109821140100888,"1","Cd163"
"Sdc4",1.13004473781356e-07,1.27532915095421,0.75,0.403,0.00217533612029111,"1","Sdc4"
"Ccl12",1.33656993007796e-07,1.08135923119669,0.812,0.597,0.00257289711540008,"1","Ccl12"
"Rwdd2a",2.57632936642548e-07,2.748725637511,0.344,0.084,0.00495943403036905,"1","Rwdd2a"
"Gpr183",3.58611986102996e-07,1.47981343611087,0.609,0.305,0.00690328073248266,"1","Gpr183"
"Il21r",4.61732782952122e-07,1.19398218895257,0.703,0.422,0.00888835607182834,"1","Il21r"
"Mgl2",4.78784541029084e-07,1.84015167634705,0.438,0.136,0.00921660241480986,"1","Mgl2"
"Tcf24",4.98048759770457e-07,1.82126542796392,0.469,0.162,0.00958743862558129,"1","Tcf24"
"Osbpl9",5.99686340546171e-07,1.16078212902283,0.688,0.442,0.0115439620555138,"1","Osbpl9"
"Egr2",1.00379158527557e-06,1.50690232327711,0.578,0.279,0.0193229880165546,"1","Egr2"
"Mtss1",1.13628089261139e-06,1.24815128211671,0.641,0.331,0.0218734071827692,"1","Mtss1"
"Plxnd1",1.6002785511258e-06,1.97430261065768,0.469,0.221,0.0308053621091717,"1","Plxnd1"
"Gm26522",2.2828246178824e-06,1.37490785574194,0.625,0.364,0.0439443738942362,"1","Gm26522"
"Pltp",2.47175283910038e-06,1.25297461973795,0.594,0.292,0.0475812421526824,"1","Pltp"
"St3gal6",8.15297914033286e-06,1.40501242260895,0.516,0.247,0.156944848451408,"1","St3gal6"
"Tmem8",1.03320016570663e-05,1.08131052888241,0.656,0.403,0.198891031898526,"1","Tmem8"
"Sgce",1.88167828421007e-05,1.75289854753441,0.359,0.123,0.362223069710439,"1","Sgce"
"Nudt16",2.21681014347771e-05,1.15611310310279,0.531,0.286,0.426735952619459,"1","Nudt16"
"Ing2",2.48972595653948e-05,1.30315270809179,0.516,0.292,0.47927224663385,"1","Ing2"
"Cxcl1",2.83689224099837e-05,1.2677493168361,0.578,0.318,0.546101756392187,"1","Cxcl1"
"Zdhhc14",3.81459410334874e-05,1.42129480476976,0.453,0.208,0.734309364894632,"1","Zdhhc14"
"Egfl7",3.86956804741292e-05,1.98095489413749,0.375,0.162,0.744891849126987,"1","Egfl7"
"Adam33",4.1947601548063e-05,2.38830054132629,0.266,0.071,0.807491329800212,"1","Adam33"
"Orai3",6.0204535253984e-05,1.32106324784566,0.5,0.305,1,"1","Orai3"
"Nfxl1",7.00132416318785e-05,1.11177798991415,0.547,0.364,1,"1","Nfxl1"
"Hif3a",7.23853334723769e-05,1.92030274522533,0.297,0.091,1,"1","Hif3a"
"Trrap",9.61745003308732e-05,2.42027459617593,0.25,0.071,1,"1","Trrap"
"Ggt5",0.000153432751187659,1.3921315595488,0.359,0.143,1,"1","Ggt5"
"Folr2",0.000192152799679643,1.08047854149107,0.547,0.338,1,"1","Folr2"
"Gm26532",0.000265784599798395,1.11572782751351,0.562,0.39,1,"1","Gm26532"
"Il15",0.00027666784479647,1.79592205567532,0.297,0.117,1,"1","Il15"
"Bmp2",0.000289765830781789,1.52781373301685,0.422,0.208,1,"1","Bmp2"
"Ctc1",0.000400873035020417,1.26339652152992,0.438,0.247,1,"1","Ctc1"
"Cp",0.000429066168569208,2.12794081147205,0.25,0.084,1,"1","Cp"
"Fam13a",0.000456102265711861,1.81309167501847,0.312,0.13,1,"1","Fam13a"
"Mxra8",0.000582098675676318,1.83790317700216,0.266,0.097,1,"1","Mxra8"
"Eva1b",0.000602324370470848,1.00064091695663,0.5,0.331,1,"1","Eva1b"
"Irf2bp2",0.000734298183745083,1.12751500826987,0.484,0.312,1,"1","Irf2bp2"
"Fam214b",0.000820571538250214,2.08304838352989,0.266,0.11,1,"1","Fam214b"
"Prkacb",0.000851503329093745,1.39247923485158,0.391,0.214,1,"1","Prkacb"
"Phlda1",0.000992919927868288,1.41829233447709,0.438,0.273,1,"1","Phlda1"
"Zfp740",0.00104264240116511,1.80876878907883,0.25,0.097,1,"1","Zfp740"
"Ets2",0.00107809255555698,1.13251033852918,0.469,0.299,1,"1","Ets2"
"Cdkn1a",0.00130958870033007,1.02002710706609,0.609,0.506,1,"1","Cdkn1a"
