gene_ID,genes,MLS0036,MLS0037,MLS0038,MLS0039,MLS0040,MLS0041,MLS0042,MLS0043,MLS0044,MLS0045,MLS0046,MLS0047,MLS0048,MLS0049
ENSMUSG00000039068.16,Zzz3,0,0,6.700749,0,18.996294,0,0,36.328907,0,0,12.195699,0,20.590702,30.565907
ENSMUSG00000055670.14,Zzef1,0,0,24.184315,0,0,0,7.908963,0,6.567293,0,12.370488,3.674356,8.908724,28.587898
ENSMUSG00000029860.16,Zyx,0,0,0,0,155.415803,0,157.797902,0,89.809795,0,60.066751,31.15139,73.387588,27.818302
ENSMUSG00000034636.9,Zyg11b,0,0,0,0,18.774832,0,11.458032,0,0,0,4.189628,0,5.253952,4.716121
ENSMUSG00000034645.14,Zyg11a,0,0,0,0,0,0,0,0,6.893675,0,0,0,5.661717,0
ENSMUSG00000034430.16,Zxdc,0,0,0,0,0,0,0,23.300125,3.265855,0,8.47019,0,4.742965,12.713337
ENSMUSG00000073062.3,Zxdb,0,0,0,0,0,16.078021,0,0,5.654073,0,0.925738,0,0,0
ENSMUSG00000073060.4,Zxda,0,0,0,0,0,0,0,0,6.060709,0,0.661544,0,0,0
ENSMUSG00000019923.14,Zwint,0,0,89.193504,163.277008,0,0,0,0,20.361759,35.823065,40.964669,26.344802,5.683783,35.858639
ENSMUSG00000032400.18,Zwilch,0,0,0,0,0,0,0,0,0,0,1.65082,0,21.78166,0
ENSMUSG00000032264.9,Zw10,0,0,0,0,0,0,16.278263,0,0,0,8.300916,0,8.497042,0
ENSMUSG00000039531.8,Zup1,0,0,0,0,129.185725,0,0,0,0,0,6.034794,0,3.460086,20.499456
ENSMUSG00000070814.15,Zswim9,0,0,0,71.33401,25.362357,28.059934,7.751966,38.7889,0,0,2.884407,9.520173,4.052186,0
ENSMUSG00000021819.11,Zswim8,75.688313,247.5465,0,37.78632,171.08283,100.676918,269.329551,334.381287,92.431771,0,46.780305,36.564003,25.297106,0
ENSMUSG00000014243.5,Zswim7,348.500056,2858.846496,0,695.934905,445.825314,0,0,0,21.700982,41.125902,14.212357,105.33736,17.822834,83.991406
ENSMUSG00000032846.10,Zswim6,0,0,25.640385,0,0,0,0,45.115609,12.038865,13.907797,15.834022,3.893522,7.233241,0
ENSMUSG00000033948.3,Zswim5,0,0,0,22.815494,14.615914,0,0,17.258888,0,0,0,0,3.505817,0
ENSMUSG00000035671.6,Zswim4,0,0,0,0,0,0,0,0,6.869241,0,0.749798,3.334354,2.820825,0
ENSMUSG00000045822.4,Zswim3,0,0,0,0,0,0,0,0,0,0,2.561163,0,0,0
ENSMUSG00000034552.8,Zswim2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000017764.2,Zswim1,0,0,0,0,0,0,39.00578,0,0,0,0.641001,0,0,0
ENSMUSG00000058028.14,Zscan5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070828.10,Zscan4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095936.3,Zscan4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090714.10,Zscan4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054272.6,Zscan4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095339.2,Zscan4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110097.1,Zscan4a,0,0,22.269029,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109969.1,Zscan4-ps3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110190.1,Zscan4-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110103.1,Zscan4-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024274.10,Zscan30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050619.14,Zscan29,0,0,0,0,0,0,26.820238,0,12.527696,0,8.066188,10.65894,3.658295,8.055501
ENSMUSG00000022228.14,Zscan26,0,0,0,0,0,0,8.083411,23.957064,18.709259,0,9.037521,14.128621,0,14.082307
ENSMUSG00000070420.4,Zscan25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054715.11,Zscan22,0,0,0,0,0,0,0,0,0,0,3.473964,0,0,0
ENSMUSG00000037017.15,Zscan21,0,0,0,0,0,0,0,42.243128,0,0,1.572307,0,0,0
ENSMUSG00000061894.15,Zscan20,0,79.093995,79.671388,33.715626,0,54.010257,0,0,4.990612,7.96464,2.503776,0,0,0
ENSMUSG00000038797.13,Zscan2,0,0,0,0,0,0,0,121.722744,0,0,0,0,0,0
ENSMUSG00000070822.5,Zscan18,0,0,0,0,0,0,9.058087,0,7.712082,0,0,0,1.774888,0
ENSMUSG00000036721.14,Zscan12,0,0,0,0,0,0,0,0,0,0,1.193037,0,5.901629,0
ENSMUSG00000023902.18,Zscan10,0,563.001217,0,0,148.50447,0,0,0,0,40.685865,3.264978,16.348597,0,0
ENSMUSG00000031370.12,Zrsr2,0,0,0,0,0,0,119.069316,0,34.49199,18.791893,41.690889,86.900265,24.81469,22.479601
ENSMUSG00000044068.7,Zrsr1,0,0,0,0,0,0,0,0,0,0,0.385999,0,5.068471,0
ENSMUSG00000036086.16,Zranb3,65.236186,0,0,0,0,0,9.83815,51.436783,0,0,1.329935,9.14131,0,6.074067
ENSMUSG00000028180.18,Zranb2,0,0,0,0,0,0,47.866099,0,5.487978,11.608622,19.69298,20.153757,59.749584,0
ENSMUSG00000030967.15,Zranb1,0,0,0,0,0,0,0,0,0,0,15.4681,19.956167,14.833116,21.270304
ENSMUSG00000032078.17,Zpr1,0,0,0,0,55.459073,0,0,320.063428,73.544526,89.930169,28.364524,58.739287,172.570591,13.867589
ENSMUSG00000073747.2,Zpld2,54.555612,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064310.10,Zpld1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000017195.15,Zpbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000020193.3,Zpbp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000113593.1,Zp4-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,22.227596
ENSMUSG00000042554.10,Zp3r,0,0,0,0,0,0,0,51.542514,0,0,0,0,0,0
ENSMUSG00000004948.12,Zp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030911.7,Zp2,0,0,0,110.124625,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024734.8,Zp1,0,0,0,0,169.615949,0,0,0,0,0,0,0,0,0
ENSMUSG00000044526.3,Znrf4,0,0,0,0,0,76.302701,0,81.367495,0,0,0,0,0,0
ENSMUSG00000041961.14,Znrf3,0,0,0,0,0,0,0,0,0,0,2.386154,3.07164,0,9.741992
ENSMUSG00000058446.14,Znrf2,0,0,0,0,0,30.697383,11.278939,0,8.096391,5.114536,8.83745,56.137066,6.649498,3.481805
ENSMUSG00000033545.14,Znrf1,0,0,11.110605,0,0,0,107.309996,0,91.756671,72.877526,20.022324,0,26.378459,35.562241
ENSMUSG00000079478.9,Znrd2,0,0,0,0,0,0,0,0,0,0,7.326064,0,28.114062,0
ENSMUSG00000036214.14,Znrd1as,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000036315.13,Znrd1,0,0,0,0,0,420.459032,0,0,0,0,14.518914,33.710669,14.368176,0
ENSMUSG00000074182.8,Znhit6,0,0,0,0,0,0,42.5745,0,59.708071,0,22.322123,0,33.653403,0
ENSMUSG00000020526.12,Znhit3,0,0,0,246.814123,0,122.415172,128.6586,186.703709,61.570228,116.682792,12.456288,0,12.641778,0
ENSMUSG00000075227.6,Znhit2,0,0,39.618358,0,0,0,0,0,12.400561,0,4.060674,0,0,0
ENSMUSG00000059518.14,Znhit1,0,0,0,0,116.789314,0,43.983984,0,29.692014,24.920663,22.542306,0,100.34376,0
ENSMUSG00000039501.14,Znfx1,0,0,18.831582,122.617635,19.651726,21.780064,0,23.182776,35.588052,10.942983,27.788073,29.204316,15.169264,54.137842
ENSMUSG00000084350.1,Znf41-ps,0,0,0,0,0,0,0,0,0,0,6.467123,6.390961,5.406678,0
ENSMUSG00000039671.18,Zmynd8,0,0,13.507892,165.523701,31.93025,17.689891,15.326781,18.854962,4.168588,19.708912,14.922422,7.272749,4.749453,0
ENSMUSG00000026974.11,Zmynd19,0,271.036116,13.003104,32.630307,0,0,30.09402,0,28.803475,0,7.017605,0,1.671319,0
ENSMUSG00000040829.14,Zmynd15,0,0,0,0,0,32.124048,0,0,22.665552,0,7.892376,10.967109,10.447389,7.287244
ENSMUSG00000070806.5,Zmynd12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000021156.17,Zmynd11,81.92259,0,0,0,51.270519,0,126.308144,61.876021,47.54169,7.754454,56.232486,127.911732,63.965699,43.184785
ENSMUSG00000010044.12,Zmynd10,0,0,635.545784,0,0,0,0,0,0,0,3.820196,0,0,0
ENSMUSG00000042408.13,Zmym6,0,0,0,0,0,0,0,0,0,0,1.673311,0,1.628588,0
ENSMUSG00000040123.17,Zmym5,0,0,0,0,0,0,0,0,2.965301,0,3.87864,0,5.311987,0
ENSMUSG00000042446.16,Zmym4,0,0,0,0,14.053255,173.069727,0,0,24.113038,4.478785,8.346953,0,1.124786,3.050155
